 @n.xm1.nsg13_lv_nmos[l] @n.xm1.nsg13_lv_nmos[cdd] @n.xm1.nsg13_lv_nmos[cgd] @n.xm1.nsg13_lv_nmos[cgg] @n.xm1.nsg13_lv_nmos[cgs] @n.xm1.nsg13_lv_nmos[gds] @n.xm1.nsg13_lv_nmos[gm] @n.xm1.nsg13_lv_nmos[ids] @n.xm1.nsg13_lv_nmos[l] @n.xm1.nsg13_lv_nmos[vth] @vd[dc]         @vg[dc]        
 1.30000000e-07  4.47791474e-17  5.21719847e-17  2.23449689e-15  2.05193816e-15  1.24460138e-04  2.01907872e-03  2.82496585e-04  1.30000000e-07  4.34740454e-01  5.00000000e-01  7.00000000e-01 
 1.30000000e-07  8.67155041e-17  1.03905918e-16  2.49255377e-15  2.28597553e-15  2.03930935e-04  2.77729390e-03  5.23547339e-04  1.30000000e-07  4.34740454e-01  5.00000000e-01  8.00000000e-01 
 1.30000000e-07  1.39349557e-16  1.69797564e-16  2.70394844e-15  2.45309461e-15  3.27220273e-04  3.33629215e-03  8.31180257e-04  1.30000000e-07  4.34740454e-01  5.00000000e-01  9.00000000e-01 
 1.30000000e-07  1.98182568e-16  2.44597355e-16  2.87067808e-15  2.56068842e-15  5.10227978e-04  3.66297975e-03  1.18298403e-03  1.30000000e-07  4.34740454e-01  5.00000000e-01  1.00000000e+00 
 1.30000000e-07  2.60469587e-16  3.24974372e-16  3.00190833e-15  2.62244673e-15  7.58485724e-04  3.79432208e-03  1.55725074e-03  1.30000000e-07  4.34740454e-01  5.00000000e-01  1.10000000e+00 
 1.30000000e-07  3.24426615e-16  4.08671320e-16  3.10753076e-15  2.65196986e-15  1.06890494e-03  3.78434081e-03  1.93714780e-03  1.30000000e-07  4.34740454e-01  5.00000000e-01  1.20000000e+00 
 1.30000000e-07  6.79744863e-24 -1.41478403e-18  4.49950798e-16  1.24573373e-18  1.56833948e-10  3.65897582e-09  1.33622549e-10  1.30000000e-07  4.34426777e-01  6.00000000e-01  0.00000000e+00 
 1.30000000e-07  9.92312447e-23 -1.32958769e-18  4.22953175e-16  1.30000293e-18  2.55302755e-09  5.81794631e-08  2.10102565e-09  1.30000000e-07  4.34426777e-01  6.00000000e-01  1.00000000e-01 
 1.30000000e-07  1.49925857e-21 -1.25939403e-18  4.02133513e-16  3.22622949e-18  4.28558387e-08  9.45017725e-07  3.38799822e-08  1.30000000e-07  4.34426777e-01  6.00000000e-01  2.00000000e-01 
 1.30000000e-07  2.34496032e-20 -1.21010194e-18  4.09901614e-16  3.36509676e-17  7.10887668e-07  1.50538415e-05  5.47268081e-07  1.30000000e-07  4.34426777e-01  6.00000000e-01  3.00000000e-01 
 1.30000000e-07  3.83243240e-19 -1.10345674e-18  6.85079292e-16  3.61139470e-16  8.50078705e-06  1.56564385e-04  7.06843687e-06  1.30000000e-07  4.34426777e-01  6.00000000e-01  4.00000000e-01 
 1.30000000e-07  3.65761222e-18  2.18478531e-18  1.41080729e-15  1.18110563e-15  3.30702637e-05  5.59049044e-04  4.06856894e-05  1.30000000e-07  4.34426777e-01  6.00000000e-01  5.00000000e-01 
 1.30000000e-07  1.35651090e-17  1.39979487e-17  1.89614816e-15  1.71342843e-15  6.66310274e-05  1.24288084e-03  1.28663997e-04  1.30000000e-07  4.34426777e-01  6.00000000e-01  6.00000000e-01 
 1.30000000e-07  3.23353783e-17  3.67450352e-17  2.19945972e-15  2.02826723e-15  1.12285189e-04  2.07693571e-03  2.94293021e-04  1.30000000e-07  4.34426777e-01  6.00000000e-01  7.00000000e-01 
 1.30000000e-07  6.08043141e-17  7.14167934e-17  2.44359211e-15  2.26442750e-15  1.73770730e-04  2.86055207e-03  5.42290768e-04  1.30000000e-07  4.34426777e-01  6.00000000e-01  8.00000000e-01 
 1.30000000e-07  9.68488277e-17  1.15729278e-16  2.64525971e-15  2.44314888e-15  2.58998678e-04  3.45959562e-03  8.60132027e-04  1.30000000e-07  4.34426777e-01  6.00000000e-01  9.00000000e-01 
 1.30000000e-07  1.38187934e-16  1.67179907e-16  2.80515279e-15  2.56743802e-15  3.78836341e-04  3.83709606e-03  1.22675003e-03  1.30000000e-07  4.34426777e-01  6.00000000e-01  1.00000000e+00 
 1.30000000e-07  1.83611570e-16  2.24466085e-16  2.93123713e-15  2.64743746e-15  5.40712946e-04  4.02246692e-03  1.62112993e-03  1.30000000e-07  4.34426777e-01  6.00000000e-01  1.10000000e+00 
 1.30000000e-07  2.32369322e-16  2.86784595e-16  3.03311281e-15  2.69486340e-15  7.47199680e-04  4.06423570e-03  2.02646430e-03  1.30000000e-07  4.34426777e-01  6.00000000e-01  1.20000000e+00 
 1.30000000e-07  4.96575578e-24 -1.41986182e-18  4.49856621e-16  1.15555093e-18  1.55205212e-10  4.08588700e-09  1.48944103e-10  1.30000000e-07  4.34111606e-01  7.00000000e-01  0.00000000e+00 
 1.30000000e-07  7.20395330e-23 -1.33442984e-18  4.22875866e-16  1.21549492e-18  2.51229468e-09  6.53024493e-08  2.35413715e-09  1.30000000e-07  4.34111606e-01  7.00000000e-01  1.00000000e-01 
 1.30000000e-07  1.08318225e-21 -1.26455224e-18  4.02071355e-16  3.14967334e-18  4.22195106e-08  1.06526541e-06  3.81342991e-08  1.30000000e-07  4.34111606e-01  7.00000000e-01  2.00000000e-01 
 1.30000000e-07  1.69921729e-20 -1.22358008e-18  4.09887297e-16  3.36238845e-17  7.00707829e-07  1.70002780e-05  6.17860827e-07  1.30000000e-07  4.34111606e-01  7.00000000e-01  3.00000000e-01 
 1.30000000e-07  2.94356180e-19 -1.22912529e-18  6.84661998e-16  3.60697153e-16  8.32308345e-06  1.73276966e-04  7.90974139e-06  1.30000000e-07  4.34111606e-01  7.00000000e-01  4.00000000e-01 
 1.30000000e-07  2.99045719e-18  1.32932653e-18  1.40441661e-15  1.17455013e-15  3.17792200e-05  5.87352650e-04  4.39274182e-05  1.30000000e-07  4.34111606e-01  7.00000000e-01  5.00000000e-01 
 1.30000000e-07  1.09476725e-17  1.07618593e-17  1.88129306e-15  1.69979551e-15  6.28153909e-05  1.28001287e-03  1.35130869e-04  1.30000000e-07  4.34111606e-01  7.00000000e-01  6.00000000e-01 
 1.30000000e-07  2.51519853e-17  2.79199493e-17  2.17473903e-15  2.00938738e-15  1.03566469e-04  2.12613000e-03  3.05065851e-04  1.30000000e-07  4.34111606e-01  7.00000000e-01  7.00000000e-01 
 1.30000000e-07  4.59426078e-17  5.30302436e-17  2.40975585e-15  2.24532945e-15  1.55132003e-04  2.92442288e-03  5.58674436e-04  1.30000000e-07  4.34111606e-01  7.00000000e-01  8.00000000e-01 
 1.30000000e-07  7.19746863e-17  8.45899932e-17  2.60462797e-15  2.42982816e-15  2.20339372e-04  3.54575795e-03  8.83940360e-04  1.30000000e-07  4.34111606e-01  7.00000000e-01  9.00000000e-01 
 1.30000000e-07  1.01889314e-16  1.21161181e-16  2.75901121e-15  2.56357945e-15  3.05657620e-04  3.95398071e-03  1.26065168e-03  1.30000000e-07  4.34111606e-01  7.00000000e-01  1.00000000e+00 
 1.30000000e-07  1.35205843e-16  1.62337744e-16  2.88001084e-15  2.65475405e-15  4.17366726e-04  4.17531096e-03  1.66848939e-03  1.30000000e-07  4.34111606e-01  7.00000000e-01  1.10000000e+00 
 1.30000000e-07  1.71824097e-16  2.08150212e-16  2.97714035e-15  2.71405192e-15  5.59493578e-04  4.25494373e-03  2.09099731e-03  1.30000000e-07  4.34111606e-01  7.00000000e-01  1.20000000e+00 
 1.30000000e-07  3.57107644e-24 -1.42308371e-18  4.49762222e-16  1.06330339e-18  1.54019214e-10  4.50474913e-09  1.63985394e-10  1.30000000e-07  4.33795490e-01  8.00000000e-01  0.00000000e+00 
 1.30000000e-07  5.13335022e-23 -1.33752005e-18  4.22798455e-16  1.12913158e-18  2.47047456e-09  7.23086996e-08  2.60299123e-09  1.30000000e-07  4.33795490e-01  8.00000000e-01  1.00000000e-01 
 1.30000000e-07  7.66338262e-22 -1.26792732e-18  4.02010439e-16  3.07273830e-18  4.15431136e-08  1.18368373e-06  4.23223064e-08  1.30000000e-07  4.33795490e-01  8.00000000e-01  2.00000000e-01 
 1.30000000e-07  1.20783486e-20 -1.23340751e-18  4.09894575e-16  3.36175177e-17  6.89666356e-07  1.89164429e-05  6.87381720e-07  1.30000000e-07  4.33795490e-01  8.00000000e-01  3.00000000e-01 
 1.30000000e-07  2.27289974e-19 -1.32426517e-18  6.84491249e-16  3.60501221e-16  8.13966850e-06  1.89512049e-04  8.73287408e-06  1.30000000e-07  4.33795490e-01  8.00000000e-01  4.00000000e-01 
 1.30000000e-07  2.50452423e-18  7.04959010e-19  1.39914682e-15  1.16901682e-15  3.05819820e-05  6.14026305e-04  4.70446736e-05  1.30000000e-07  4.33795490e-01  8.00000000e-01  5.00000000e-01 
 1.30000000e-07  9.16280588e-18  8.55720569e-18  1.86940334e-15  1.68842781e-15  5.95554124e-05  1.31408872e-03  1.41245464e-04  1.30000000e-07  4.33795490e-01  8.00000000e-01  6.00000000e-01 
 1.30000000e-07  2.05217211e-17  2.22626201e-17  2.15597175e-15  1.99391557e-15  9.66896718e-05  2.16972084e-03  3.15066825e-04  1.30000000e-07  4.33795490e-01  8.00000000e-01  7.00000000e-01 
 1.30000000e-07  3.65832734e-17  4.15660151e-17  2.38481765e-15  2.22904984e-15  1.41880177e-04  2.97737016e-03  5.73493176e-04  1.30000000e-07  4.33795490e-01  8.00000000e-01  8.00000000e-01 
 1.30000000e-07  5.63412947e-17  6.52756394e-17  2.57510524e-15  2.41671230e-15  1.95353685e-04  3.61144587e-03  9.04646495e-04  1.30000000e-07  4.33795490e-01  8.00000000e-01  9.00000000e-01 
 1.30000000e-07  7.88369676e-17  9.23777671e-17  2.72557888e-15  2.55610788e-15  2.60624004e-04  4.03813470e-03  1.28880285e-03  1.30000000e-07  4.33795490e-01  8.00000000e-01  1.00000000e+00 
 1.30000000e-07  1.03862187e-16  1.22768742e-16  2.84255805e-15  2.65415801e-15  3.42351805e-04  4.28280923e-03  1.70618958e-03  1.30000000e-07  4.33795490e-01  8.00000000e-01  1.10000000e+00 
 1.30000000e-07  1.31592528e-16  1.56800540e-16  2.93541993e-15  2.72103070e-15  4.44417360e-04  4.38893330e-03  2.14075287e-03  1.30000000e-07  4.33795490e-01  8.00000000e-01  1.20000000e+00 
 1.30000000e-07  2.45972878e-24 -1.42521256e-18  4.49667696e-16  9.69836622e-19  1.53548519e-10  4.91555802e-09  1.78752851e-10  1.30000000e-07  4.33478738e-01  9.00000000e-01  0.00000000e+00 
